Original value,New value,Dict 
Blowing Dust,Blowing Ash / Dust / Sand,Blowing Dust: Blowing Ash / Dust / Sand
Blowing Dust / Windy,Blowing Ash / Dust / Sand,Blowing Dust / Windy: Blowing Ash / Dust / Sand
Blowing Sand,Blowing Ash / Dust / Sand,Blowing Sand: Blowing Ash / Dust / Sand
Blowing Snow,Blowing Snow,Blowing Snow: Blowing Snow
Blowing Snow / Windy,Blowing Snow,Blowing Snow / Windy: Blowing Snow
Blowing Snow Nearby,Blowing Snow,Blowing Snow Nearby: Blowing Snow
Clear,Fair,Clear: Fair
Cloudy,Cloudy,Cloudy: Cloudy
Cloudy / Windy,Cloudy,Cloudy / Windy: Cloudy
Drifting Snow,Blowing Snow,Drifting Snow: Blowing Snow
Drifting Snow / Windy,Blowing Snow,Drifting Snow / Windy: Blowing Snow
Drizzle,Light Rain,Drizzle: Light Rain
Drizzle / Windy,Light Rain,Drizzle / Windy: Light Rain
Drizzle and Fog,Light Rain,Drizzle and Fog: Light Rain
Dust Whirls,Blowing Ash / Dust / Sand,Dust Whirls: Blowing Ash / Dust / Sand
Duststorm,Blowing Ash / Dust / Sand,Duststorm: Blowing Ash / Dust / Sand
Fair,Fair,Fair: Fair
Fair / Windy,Fair,Fair / Windy: Fair
Fog,Fog,Fog: Fog
Fog / Windy,Fog,Fog / Windy: Fog
Freezing Drizzle,Freezing Rain,Freezing Drizzle: Freezing Rain
Freezing Rain,Freezing Rain,Freezing Rain: Freezing Rain
Freezing Rain / Windy,Freezing Rain,Freezing Rain / Windy: Freezing Rain
Funnel Cloud,Tornado,Funnel Cloud: Tornado
Hail,Hail,Hail: Hail
Haze,Hazy,Haze: Hazy
Haze / Windy,Hazy,Haze / Windy: Hazy
Heavy Blowing Snow,Heavy Snow,Heavy Blowing Snow: Heavy Snow
Heavy Drizzle,Rain,Heavy Drizzle: Rain
Heavy Freezing Drizzle,Freezing Rain,Heavy Freezing Drizzle: Freezing Rain
Heavy Freezing Rain,Heavy Freezing Rain,Heavy Freezing Rain: Heavy Freezing Rain
Heavy Freezing Rain / Windy,Heavy Freezing Rain,Heavy Freezing Rain / Windy: Heavy Freezing Rain
Heavy Ice Pellets,Heavy Sleet,Heavy Ice Pellets: Heavy Sleet
Heavy Rain,Heavy Rain,Heavy Rain: Heavy Rain
Heavy Rain / Windy,Heavy Rain,Heavy Rain / Windy: Heavy Rain
Heavy Rain Shower,Heavy Rain,Heavy Rain Shower: Heavy Rain
Heavy Rain Shower / Windy,Heavy Rain,Heavy Rain Shower / Windy: Heavy Rain
Heavy Rain Showers,Heavy Rain,Heavy Rain Showers: Heavy Rain
Heavy Sleet,Heavy Sleet,Heavy Sleet: Heavy Sleet
Heavy Sleet / Windy,Heavy Sleet,Heavy Sleet / Windy: Heavy Sleet
Heavy Sleet and Thunder,Heavy Sleet,Heavy Sleet and Thunder: Heavy Sleet
Heavy Smoke,Heavy Smoke,Heavy Smoke: Heavy Smoke
Heavy Snow,Heavy Snow,Heavy Snow: Heavy Snow
Heavy Snow / Windy,Heavy Snow,Heavy Snow / Windy: Heavy Snow
Heavy Snow with Thunder,Heavy Snow,Heavy Snow with Thunder: Heavy Snow
Heavy Thunderstorms and Rain,Heavy Thunderstorm,Heavy Thunderstorms and Rain: Heavy Thunderstorm
Heavy Thunderstorms and Snow,Heavy Snow,Heavy Thunderstorms and Snow: Heavy Snow
Heavy Thunderstorms with Small Hail,Heavy Thunderstorm,Heavy Thunderstorms with Small Hail: Heavy Thunderstorm
Heavy T-Storm,Heavy Thunderstorm,Heavy T-Storm: Heavy Thunderstorm
